label	quallab	value	StdDev	nObs	instrument	methoddesc	formationname
metamorphic_rock lithology in British Columbia	average magnetic susceptibility metamorphic_rock	0.00638	0.01327	8	SAPPHIRE SI2B MS METER	"average value and standard deviation from 8 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00019 SI magnetic susceptibility, max susceptibility is 0.03840 SI magnetic susceptibility"	
metamorphic_rock lithology in British Columbia	average magnetic susceptibility metamorphic_rock	0.01192	0.0214	88	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 88 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001 SI magnetic susceptibility, max susceptibility is 0.11200 SI magnetic susceptibility"	
metamorphic_rock lithology in Cache Creek Group	average  Magnetic_Susceptibility for metamorphic_rock in the Cache Creek Group	0.00799	0.00862	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001  SI magnetic susceptibility, max susceptibility is 0.01820  SI magnetic susceptibility"	
metamorphic_rock lithology in Eagle Bay Greenstone of Eagle Bay	average  Magnetic_Susceptibility for metamorphic_rock in the Eagle Bay Greenstone of the Eagle Bay	0.00491	0.01143	38	GF INSTRUMENTS SM-20	"average value and standard deviation from 38 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00005  SI magnetic susceptibility, max susceptibility is 0.05574  SI magnetic susceptibility"	Eagle Bay Greenstone
metamorphic_rock lithology in Eagle Bay Greenstone of Eagle Bay	average  Density for metamorphic_rock in the Eagle Bay Greenstone of the Eagle Bay	2.8	0.06	6	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.73  g/cm3, max susceptibility is 2.88  g/cm3"	Eagle Bay Greenstone
metamorphic_rock lithology in Eagle BayAdams of Eagle Bay	average  Magnetic_Susceptibility for metamorphic_rock in the Eagle Bay Adams of the Eagle Bay	0.00035	0.0002	8	GF INSTRUMENTS SM-20	"average value and standard deviation from 8 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000  SI magnetic susceptibility, max susceptibility is 0.00065  SI magnetic susceptibility"	Eagle Bay Adams
metamorphic_rock lithology in Horsetheif Creek Group	average  Magnetic_Susceptibility for metamorphic_rock in the Horsetheif Creek Group	0.00016	0.00013	6	GF INSTRUMENTS SM-20	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00003  SI magnetic susceptibility, max susceptibility is 0.00038  SI magnetic susceptibility"	
metamorphic_rock lithology in Index Formation of Lardeau Group	average  Magnetic_Susceptibility for metamorphic_rock in the Index Formation of the Lardeau Group	0.00078	0.00098	28	GF INSTRUMENTS SM-20	"average value and standard deviation from 28 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00006  SI magnetic susceptibility, max susceptibility is 0.00463  SI magnetic susceptibility"	Index Formation
metamorphic_rock lithology in Index Formation of Lardeau Group	average  Density for metamorphic_rock in the Index Formation of the Lardeau Group	2.96	0.03	5	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.92  g/cm3, max susceptibility is 3.01  g/cm3"	Index Formation
metamorphic_rock lithology in Rubyrock Igneous complex	average  Magnetic_Susceptibility for metamorphic_rock in the Rubyrock Igneous complex	0.00441	0.01152	11	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 11 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00011  SI magnetic susceptibility, max susceptibility is 0.03900  SI magnetic susceptibility"	Rubyrock Igneous complex
metamorphic_rock lithology in Snowshoe Group	average  Density for metamorphic_rock in the Snowshoe Group	2.66	0.04	5	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.61  g/cm3, max susceptibility is 2.69  g/cm3"	
metamorphic_rock lithology in Snowshoe Group	average  Magnetic_Susceptibility for metamorphic_rock in the Snowshoe Group	0.00012	0.00006	5	GF INSTRUMENTS SM-20	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00004  SI magnetic susceptibility, max susceptibility is 0.00020  SI magnetic susceptibility"	
metamorphic_rock lithology in Sowchea Succ	average  Magnetic_Susceptibility for metamorphic_rock in the Sowchea Succ	0.00352	0.00733	13	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 13 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00004  SI magnetic susceptibility, max susceptibility is 0.02310  SI magnetic susceptibility"	Sowchea Succ
metamorphic_rock lithology in Taltapin MM complex	average  Magnetic_Susceptibility for metamorphic_rock in the Taltapin MM complex	0.00935	0.02006	7	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 7 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00002  SI magnetic susceptibility, max susceptibility is 0.05470  SI magnetic susceptibility"	Taltapin MM complex
metamorphic_rock lithology in Trembleur Ultramafite	average  Magnetic_Susceptibility for metamorphic_rock in the Trembleur Ultramafite	0.02137	0.03045	24	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 24 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00020  SI magnetic susceptibility, max susceptibility is 0.11200  SI magnetic susceptibility"	Trembleur Ultramafite
metamorphic_rock lithology in Tsalkom Formation	average  Magnetic_Susceptibility for metamorphic_rock in the Tsalkom Formation	0.00098	0.0023	13	GF INSTRUMENTS SM-20	"average value and standard deviation from 13 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00025  SI magnetic susceptibility, max susceptibility is 0.00864  SI magnetic susceptibility"	Tsalkom Formation
metasomatic_rock lithology in Badshot Formation	average  Density for metasomatic_rock in the Badshot Formation	3.03	0.4	26	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 26 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.72  g/cm3, max susceptibility is 4.76  g/cm3"	Badshot Formation
metasomatic_rock lithology in Badshot Formation	average  Magnetic_Susceptibility for metasomatic_rock in the Badshot Formation	0.00014	0.00036	26	GF INSTRUMENTS SM-20	"average value and standard deviation from 26 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00001  SI magnetic susceptibility, max susceptibility is 0.00158  SI magnetic susceptibility"	Badshot Formation
metasomatic_rock lithology in British Columbia	average magnetic susceptibility metasomatic_rock	0.03925	0.0802	27	SAPPHIRE SI2B MS METER	"average value and standard deviation from 27 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00001 SI magnetic susceptibility, max susceptibility is 0.37000 SI magnetic susceptibility"	
metasomatic_rock lithology in British Columbia	average magnetic susceptibility metasomatic_rock	0.0037	0.01328	351	GF INSTRUMENTS SM-20	"average value and standard deviation from 351 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00004 SI magnetic susceptibility, max susceptibility is 0.18049 SI magnetic susceptibility"	
metasomatic_rock lithology in British Columbia	average magnetic susceptibility metasomatic_rock	0.01432	0.04243	37	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 37 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00010 SI magnetic susceptibility, max susceptibility is 0.25000 SI magnetic susceptibility"	
metasomatic_rock lithology in Eagle Bay Greenstone of Eagle Bay	average  Density for metasomatic_rock in the Eagle Bay Greenstone of the Eagle Bay	2.94	0.35	30	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 30 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.62  g/cm3, max susceptibility is 4.33  g/cm3"	Eagle Bay Greenstone
metasomatic_rock lithology in Eagle Bay Greenstone of Eagle Bay	average  Magnetic_Susceptibility for metasomatic_rock in the Eagle Bay Greenstone of the Eagle Bay	0.00421	0.00706	47	GF INSTRUMENTS SM-20	"average value and standard deviation from 47 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00001  SI magnetic susceptibility, max susceptibility is 0.02955  SI magnetic susceptibility"	Eagle Bay Greenstone
metasomatic_rock lithology in Eagle Bay Quartzite of Eagle Bay	average  Magnetic_Susceptibility for metasomatic_rock in the Eagle Bay Quartzite of the Eagle Bay	0.00386	0.00445	6	GF INSTRUMENTS SM-20	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00012  SI magnetic susceptibility, max susceptibility is 0.01131  SI magnetic susceptibility"	Eagle Bay Quartzite
metasomatic_rock lithology in Eagle Bay sediments of Eagle Bay	average  Magnetic_Susceptibility for metasomatic_rock in the Eagle Bay Sediments of the Eagle Bay	0.00009	0.00012	6	GF INSTRUMENTS SM-20	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000  SI magnetic susceptibility, max susceptibility is 0.00034  SI magnetic susceptibility"	Eagle Bay Sediments
metasomatic_rock lithology in Eagle BayAdams of Eagle Bay	average  Density for metasomatic_rock in the Eagle Bay Adams of the Eagle Bay	3.07	0.49	17	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 17 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.60  g/cm3, max susceptibility is 4.42  g/cm3"	Eagle Bay Adams
metasomatic_rock lithology in Eagle BayAdams of Eagle Bay	average  Magnetic_Susceptibility for metasomatic_rock in the Eagle Bay Adams of the Eagle Bay	0.00299	0.01146	26	GF INSTRUMENTS SM-20	"average value and standard deviation from 26 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00004  SI magnetic susceptibility, max susceptibility is 0.05836  SI magnetic susceptibility"	Eagle Bay Adams
metasomatic_rock lithology in Eagle BayPhyllite of Eagle Bay	average  Density for metasomatic_rock in the Eagle Bay Phyllite of the Eagle Bay	2.62	0.06	4	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.56  g/cm3, max susceptibility is 2.69  g/cm3"	Eagle Bay Phyllite
metasomatic_rock lithology in Eagle BayPhyllite of Eagle Bay	average  Magnetic_Susceptibility for metasomatic_rock in the Eagle Bay Phyllite of the Eagle Bay	0.00016	0.0001	4	GF INSTRUMENTS SM-20	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00005  SI magnetic susceptibility, max susceptibility is 0.00028  SI magnetic susceptibility"	Eagle Bay Phyllite
metasomatic_rock lithology in Goldstream Pluton	average  Density for metasomatic_rock in the Goldstream Pluton	2.72	0.07	11	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 11 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.64  g/cm3, max susceptibility is 2.83  g/cm3"	Goldstream Pluton
metasomatic_rock lithology in Goldstream Pluton	average  Magnetic_Susceptibility for metasomatic_rock in the Goldstream Pluton	0.00461	0.00294	11	GF INSTRUMENTS SM-20	"average value and standard deviation from 11 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00006  SI magnetic susceptibility, max susceptibility is 0.00874  SI magnetic susceptibility"	Goldstream Pluton
metasomatic_rock lithology in Hamill Group	average  Magnetic_Susceptibility for metasomatic_rock in the Hamill Group	0.00387	0.00679	10	GF INSTRUMENTS SM-20	"average value and standard deviation from 10 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000  SI magnetic susceptibility, max susceptibility is 0.02008  SI magnetic susceptibility"	
metasomatic_rock lithology in Hamill Group	average  Density for metasomatic_rock in the Hamill Group	3.29	0.76	9	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.65  g/cm3, max susceptibility is 4.46  g/cm3"	
metasomatic_rock lithology in Horsetheif Creek Group	average  Density for metasomatic_rock in the Horsetheif Creek Group	2.78	0.08	5	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.67  g/cm3, max susceptibility is 2.88  g/cm3"	
metasomatic_rock lithology in Horsetheif Creek Group	average  Magnetic_Susceptibility for metasomatic_rock in the Horsetheif Creek Group	0.0005	0.00045	7	GF INSTRUMENTS SM-20	"average value and standard deviation from 7 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00006  SI magnetic susceptibility, max susceptibility is 0.00133  SI magnetic susceptibility"	
metasomatic_rock lithology in Index Formation of Lardeau Group	average  Density for metasomatic_rock in the Index Formation of the Lardeau Group	3.09	0.5	51	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 51 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.61  g/cm3, max susceptibility is 4.75  g/cm3"	Index Formation
metasomatic_rock lithology in Index Formation of Lardeau Group	average  Magnetic_Susceptibility for metasomatic_rock in the Index Formation of the Lardeau Group	0.00336	0.00662	94	GF INSTRUMENTS SM-20	"average value and standard deviation from 94 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00001  SI magnetic susceptibility, max susceptibility is 0.04996  SI magnetic susceptibility"	Index Formation
metasomatic_rock lithology in Jowett Formation of Lardeau Group	average  Density for metasomatic_rock in the Jowett Formation of the Lardeau Group	2.75	0.09	10	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 10 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.64  g/cm3, max susceptibility is 2.94  g/cm3"	Jowett Formation
metasomatic_rock lithology in Jowett Formation of Lardeau Group	average  Magnetic_Susceptibility for metasomatic_rock in the Jowett Formation of the Lardeau Group	0.00315	0.00783	17	GF INSTRUMENTS SM-20	"average value and standard deviation from 17 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00004  SI magnetic susceptibility, max susceptibility is 0.03186  SI magnetic susceptibility"	Jowett Formation
metasomatic_rock lithology in Laib Formation	average  Density for metasomatic_rock in the Laib Formation	3.09	0.39	31	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 31 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.10  g/cm3, max susceptibility is 3.77  g/cm3"	Laib Formation
metasomatic_rock lithology in Laib Formation	average  Magnetic_Susceptibility for metasomatic_rock in the Laib Formation	0.00005	0.00009	32	GF INSTRUMENTS SM-20	"average value and standard deviation from 32 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000  SI magnetic susceptibility, max susceptibility is 0.00033  SI magnetic susceptibility"	Laib Formation
metasomatic_rock lithology in Naglico Formation	average  Magnetic_Susceptibility for metasomatic_rock in the Naglico Formation	0.01517	0.01087	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00007  SI magnetic susceptibility, max susceptibility is 0.02500  SI magnetic susceptibility"	Naglico Formation
metasomatic_rock lithology in Nicola Group	average  Magnetic_Susceptibility for metasomatic_rock in the Nicola Group	0.00215	0.00449	12	GF INSTRUMENTS SM-20	"average value and standard deviation from 12 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001  SI magnetic susceptibility, max susceptibility is 0.01527  SI magnetic susceptibility"	
metasomatic_rock lithology in Nicola Group	average  Density for metasomatic_rock in the Nicola Group	2.76	0.15	16	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 16 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.43  g/cm3, max susceptibility is 2.96  g/cm3"	
metasomatic_rock lithology in Nicola Group	average  Magnetic_Susceptibility for metasomatic_rock in the Nicola Group	0.05184	0.05275	5	SAPPHIRE SI2B MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00036  SI magnetic susceptibility, max susceptibility is 0.13100  SI magnetic susceptibility"	
metasomatic_rock lithology in Ootsa Lake Group	average  Magnetic_Susceptibility for metasomatic_rock in the Ootsa Lake Group	0.06329	0.12448	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00010  SI magnetic susceptibility, max susceptibility is 0.25000  SI magnetic susceptibility"	
metasomatic_rock lithology in Pope Succ	average  Magnetic_Susceptibility for metasomatic_rock in the Pope Succ	0.00012	0.00009	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001  SI magnetic susceptibility, max susceptibility is 0.00023  SI magnetic susceptibility"	Pope Succ
metasomatic_rock lithology in RO showing	average  Density for metasomatic_rock in the RO showing	2.79	0.08	4	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.69  g/cm3, max susceptibility is 2.86  g/cm3"	RO showing
metasomatic_rock lithology in RO showing	average  Magnetic_Susceptibility for metasomatic_rock in the RO showing	0.00051	0.00052	4	GF INSTRUMENTS SM-20	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00014  SI magnetic susceptibility, max susceptibility is 0.00128  SI magnetic susceptibility"	RO showing
metasomatic_rock lithology in Shuswap gneiss	average  Density for metasomatic_rock in the Shuswap gneiss	2.91	0.34	4	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.57  g/cm3, max susceptibility is 3.29  g/cm3"	Shuswap gneiss
metasomatic_rock lithology in Shuswap gneiss	average  Magnetic_Susceptibility for metasomatic_rock in the Shuswap gneiss	0.00644	0.00806	5	GF INSTRUMENTS SM-20	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001  SI magnetic susceptibility, max susceptibility is 0.01952  SI magnetic susceptibility"	Shuswap gneiss
metasomatic_rock lithology in Tsalkom Formation	average  Magnetic_Susceptibility for metasomatic_rock in the Tsalkom Formation	0.01603	0.01951	4	GF INSTRUMENTS SM-20	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00017  SI magnetic susceptibility, max susceptibility is 0.04019  SI magnetic susceptibility"	Tsalkom Formation
metasomatic_rock lithology in Worldstock showing	average  Density for metasomatic_rock in the Worldstock showing	2.76	0.06	5	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.69  g/cm3, max susceptibility is 2.82  g/cm3"	Worldstock showing
